Nom,Début,Fin,Lieu,Description
Transmission large bande,2021-10-29 06:15:00+00:00,2021-10-29 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Communication,2021-10-20 12:00:00+00:00,2021-10-20 14:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2021-12-01 09:15:00+00:00,2021-12-01 11:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-24 06:15:00+00:00,2021-09-24 08:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fi,2021-11-26 07:15:00+00:00,2021-11-26 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
TP Cryptographie,2021-12-16 14:30:00+00:00,2021-12-16 16:30:00+00:00,RT-Salle-TD1,"

LP-CyberSécurité
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-09-20 14:00:00+00:00,2021-09-20 16:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Gestion d'annuaires unifiés,2021-12-03 07:15:00+00:00,2021-12-03 11:15:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Anglais,2021-12-06 07:15:00+00:00,2021-12-06 09:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
LINUX,2022-01-05 07:15:00+00:00,2022-01-05 11:00:00+00:00,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-11-08 09:15:00+00:00,2021-11-08 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-23 06:15:00+00:00,2021-09-23 10:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-18 07:15:00+00:00,2022-01-18 11:15:00+00:00,RT-Labo Informatique 3,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-03 12:30:00+00:00,2021-12-03 16:30:00+00:00,RT-Labo Informatique 1,"

RT2App
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-25 07:15:00+00:00,2021-11-25 08:45:00+00:00,RT-Salle-TD1,"

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-11-22 08:15:00+00:00,2021-11-22 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Visite Orange - Cuivre,2021-09-30 07:00:00+00:00,2021-09-30 10:00:00+00:00,,"

RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-07 08:15:00+00:00,2021-10-07 10:15:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-07 08:15:00+00:00,2021-09-07 10:15:00+00:00,"RT-Salle-TD1,RT-Labo Informatique 1","

TDBell
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-12-17 12:30:00+00:00,2021-12-17 14:30:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-13 12:00:00+00:00,2021-09-13 14:00:00+00:00,RT-Labo Informatique 1,"

RT2App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-22 06:15:00+00:00,2021-10-22 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
PPP,2021-10-19 14:00:00+00:00,2021-10-19 16:00:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

RT2Dijkstra
RT2App
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-09 07:15:00+00:00,2021-12-09 11:15:00+00:00,RT-Labo Informatique 1,"

RT2App
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-10 13:00:00+00:00,2021-11-10 16:00:00+00:00,RT-Labo Electronique 1,"

RT1Shannon1
RT1Shannon2
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-14 07:15:00+00:00,2022-01-14 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1App
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-10 07:15:00+00:00,2022-02-10 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2022-01-06 12:30:00+00:00,2022-01-06 16:30:00+00:00,RT-Labo Informatique 2,"

RT1Shannon1
RT1Shannon2
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-10-04 07:15:00+00:00,2021-10-04 10:15:00+00:00,RT-Labo Telecoms 2,"

RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-03 07:15:00+00:00,2022-02-03 09:15:00+00:00,RT-Salle-TD2,"

RT1Turing
RT1Shannon1
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-10-08 06:15:00+00:00,2021-10-08 10:15:00+00:00,RT-Labo Informatique 2,"

RT1App
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-21 14:00:00+00:00,2021-09-21 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-15 06:15:00+00:00,2021-09-15 08:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-13 12:00:00+00:00,2021-09-13 14:00:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
DS Administration système,2021-12-10 12:30:00+00:00,2021-12-10 15:30:00+00:00,RT-Labo Informatique 2,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-24 06:15:00+00:00,2021-09-24 10:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Programmation appareils CISCO,2022-01-11 07:15:00+00:00,2022-01-11 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
DS TP Infrastructure sans fil,2021-12-10 09:30:00+00:00,2021-12-10 11:00:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Rentrée ASSR,2021-10-11 06:15:00+00:00,2021-10-11 10:00:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
(Exported :05/01/2022 11:04)
"
DS Communication,2022-01-19 07:15:00+00:00,2022-01-19 09:15:00+00:00,RT-Amphi,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-01 08:15:00+00:00,2021-09-01 10:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
DS Mathématiques du signal,2021-10-18 14:00:00+00:00,2021-10-18 16:00:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Administration système,2022-01-31 09:15:00+00:00,2022-01-31 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2022-01-06 07:15:00+00:00,2022-01-06 11:15:00+00:00,RT-Labo reseaux 1,"

RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-24 09:15:00+00:00,2021-11-24 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-29 07:15:00+00:00,2021-11-29 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-18 07:15:00+00:00,2022-02-18 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-27 08:15:00+00:00,2021-10-27 10:15:00+00:00,RT-Salle-TD2,"

RT1Shannon1
RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-09-09 08:15:00+00:00,2021-09-09 10:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-09 12:30:00+00:00,2021-12-09 16:30:00+00:00,RT-Labo Informatique 1,"

RT2App
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-18 06:15:00+00:00,2021-10-18 10:15:00+00:00,RT-Labo Informatique 1,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-11-09 07:15:00+00:00,2021-11-09 09:15:00+00:00,GC-ISAT 111 Info,"

RT1App
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-13 12:00:00+00:00,2021-10-13 14:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-29 06:15:00+00:00,2021-10-29 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-14 12:30:00+00:00,2022-01-14 16:30:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-06 09:15:00+00:00,2021-12-06 11:15:00+00:00,RT-Salle-TD4,"

RT2App
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Administration système,2022-01-26 09:15:00+00:00,2022-01-26 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Sources de données,2022-01-31 15:00:00+00:00,2022-01-31 17:00:00+00:00,RT-Salle-TD2,"

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-25 09:15:00+00:00,2021-11-25 10:45:00+00:00,RT-Salle-TD2,"

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
DS Electronique,2021-12-14 07:15:00+00:00,2021-12-14 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-12-07 13:00:00+00:00,2021-12-07 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
CM Supervision et sécurisation du SI,2021-12-09 09:15:00+00:00,2021-12-09 11:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-03 07:15:00+00:00,2021-12-03 09:15:00+00:00,RT-Salle-TD3,"

RT2App
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Gestion d'annuaires unifiés,2021-12-03 12:30:00+00:00,2021-12-03 16:30:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-08 08:15:00+00:00,2021-09-08 10:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-09 07:15:00+00:00,2022-02-09 09:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-09-27 06:15:00+00:00,2021-09-27 08:15:00+00:00,RT-Labo Informatique 1,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-11 07:15:00+00:00,2022-01-11 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
BDD : MODELE RELATIONNEL,2021-12-15 12:30:00+00:00,2021-12-15 16:15:00+00:00,TC- Salle informatique étage TC,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
PortFolio - CISCO,2021-09-14 06:15:00+00:00,2021-09-14 08:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais,2022-01-11 09:15:00+00:00,2022-01-11 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs PKT,2021-11-19 09:15:00+00:00,2021-11-19 11:15:00+00:00,"RT-Labo reseaux 1,RT-Labo Informatique 3","

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
DS Mathématiques des transmissions,2021-12-03 07:15:00+00:00,2021-12-03 09:15:00+00:00,RT-Amphi,"

RT1-S1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-12-13 07:15:00+00:00,2021-12-13 09:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-08 06:15:00+00:00,2021-10-08 10:15:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Communication,2021-12-15 07:15:00+00:00,2021-12-15 09:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-11-22 15:00:00+00:00,2021-11-22 17:00:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Administration système,2021-11-30 13:00:00+00:00,2021-11-30 16:00:00+00:00,RT-Labo Informatique 2,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-10-05 06:15:00+00:00,2021-10-05 08:15:00+00:00,RT-Labo Informatique 1,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-01 11:30:00+00:00,2021-10-01 15:30:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-19 07:15:00+00:00,2022-01-19 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2022-01-12 09:15:00+00:00,2022-01-12 11:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SE15: Traiter des données,2022-01-18 13:00:00+00:00,2022-01-18 17:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
CAHIER DES CHARGES,2021-10-14 06:15:00+00:00,2021-10-14 10:00:00+00:00,RT-Salle-TD3,"

LP-CyberSécurité
LP-GSIE-ARE-1
HENNEBELLE FRANCOIS
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-10-11 06:15:00+00:00,2021-10-11 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
ITIL,2021-10-15 11:30:00+00:00,2021-10-15 15:15:00+00:00,RT-Salle-TD3,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
Communication,2021-11-24 15:00:00+00:00,2021-11-24 17:00:00+00:00,RT-Salle-TD3,"

RT2App
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-17 13:30:00+00:00,2021-09-17 15:30:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-24 11:30:00+00:00,2021-09-24 13:30:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-10 13:00:00+00:00,2022-01-10 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-14 13:00:00+00:00,2021-12-14 17:00:00+00:00,RT-Labo Informatique 3,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-15 06:15:00+00:00,2021-09-15 10:15:00+00:00,RT-Labo reseaux 1,"

RT1Shannon1
RT1Shannon2
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-12 07:15:00+00:00,2022-01-12 11:15:00+00:00,RT-Labo Electronique 1,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Anglais Technique,2022-02-09 09:15:00+00:00,2022-02-09 11:15:00+00:00,RT-Labo Informatique 1,"

TDFourier
TDFourier
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Fibres optiques,2022-01-03 08:15:00+00:00,2022-01-03 11:15:00+00:00,RT-Labo Electronique 1,"

RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais,2022-01-07 09:15:00+00:00,2022-01-07 11:15:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-01-26 09:15:00+00:00,2022-01-26 11:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
PortFolio - CISCO,2021-09-14 12:00:00+00:00,2021-09-14 14:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-08 13:00:00+00:00,2021-12-08 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
DS Réseaux opérateurs,2022-01-20 07:15:00+00:00,2022-01-20 09:15:00+00:00,RT-Amphi,"

RT2Hamming
RT2Dijkstra
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-13 06:15:00+00:00,2021-10-13 08:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-25 08:15:00+00:00,2021-10-25 10:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Administration système,2021-11-25 08:15:00+00:00,2021-11-25 11:15:00+00:00,RT-Labo Informatique 2,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-17 11:30:00+00:00,2021-09-17 13:30:00+00:00,"RT-Salle-TD2,RT-Labo Informatique 3","

TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-17 07:15:00+00:00,2022-02-17 09:15:00+00:00,,"

RT1App
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2022-01-06 09:15:00+00:00,2022-01-06 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-02 06:15:00+00:00,2021-09-02 08:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
DS Transmission large bande,2021-10-26 14:00:00+00:00,2021-10-26 16:00:00+00:00,RT-Amphi,"

RT2-S3
RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-20 06:15:00+00:00,2021-09-20 10:15:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-11-10 09:15:00+00:00,2021-11-10 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-12-06 07:15:00+00:00,2021-12-06 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-07 07:15:00+00:00,2022-02-07 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
BDD : MODELE RELATIONNEL,2021-11-19 07:15:00+00:00,2021-11-19 11:00:00+00:00,RT-Labo Informatique 2,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-10-18 06:15:00+00:00,2021-10-18 08:15:00+00:00,RT-Labo Informatique 2,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-11-12 08:15:00+00:00,2021-11-12 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
CM Solutions métier,2022-02-10 07:15:00+00:00,2022-02-10 09:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-14 13:00:00+00:00,2022-02-14 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
PortFolio - CISCO,2021-09-14 08:15:00+00:00,2021-09-14 10:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-16 13:00:00+00:00,2021-11-16 15:00:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-12 08:15:00+00:00,2021-11-12 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
CM Hacking éthique,2022-01-04 09:15:00+00:00,2022-01-04 11:15:00+00:00,RT-Salle-TD3,"

LP-CyberSécurité
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-09-27 11:15:00+00:00,2021-09-27 13:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-12-03 12:30:00+00:00,2021-12-03 14:30:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-01-31 15:00:00+00:00,2022-01-31 17:00:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-12 06:15:00+00:00,2021-10-12 08:15:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2021-12-14 07:15:00+00:00,2021-12-14 09:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-11-09 08:15:00+00:00,2021-11-09 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Huffman
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-09-29 06:15:00+00:00,2021-09-29 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-02 08:15:00+00:00,2021-09-02 10:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
MANAGEMENT DE PROJET,2021-10-14 11:30:00+00:00,2021-10-14 15:15:00+00:00,RT-Salle-TD3,"

LP-CyberSécurité
LP-GSIE-ARE-1
HENNEBELLE FRANCOIS
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation DS TP,2021-11-17 13:00:00+00:00,2021-11-17 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-20 12:30:00+00:00,2022-01-20 16:30:00+00:00,RT-Labo Electronique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Systèmes et stockage virtualisés,2021-11-16 12:30:00+00:00,2021-11-16 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
DS Principes et architecture des réseaux,2021-11-19 07:15:00+00:00,2021-11-19 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-20 12:30:00+00:00,2022-01-20 15:30:00+00:00,RT-Labo Telecoms 2,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-14 07:15:00+00:00,2022-02-14 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
DS Matrices et graphes,2021-12-08 15:00:00+00:00,2021-12-08 17:00:00+00:00,RT-Salle-TD1,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
LINUX,2022-02-11 07:15:00+00:00,2022-02-11 11:00:00+00:00,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-10-11 06:15:00+00:00,2021-10-11 10:15:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
